ID,NGain_TPACK,NGain_STEM,NGain_ESD,NGain_RPP Integratif
ID-84,0.37312500000000043,0.3496748374187096,0.3596654275092938,0.36034413961370815
ID-85,0.517,0.44736842105263164,0.439872408293461,0.46043708181958454
ID-86,0.525,0.75,0.4052747252747251,0.5575320512820511
ID-87,0.685382381413359,0.6190476190476191,0.48863035430988916,0.5841387964173653
ID-88,0.4193548387096776,0.5522233712512926,0.28054298642533937,0.4204212507302543
ID-89,0.7559090909090911,0.5688949522510232,0.1278878701238952,0.5302529297068542
ID-90,0.30807692307692336,0.5828571428571429,0.5217391304347827,0.4913552819557925
ID-91,0.3825345486621583,0.6248294679399727,0.2518958127266731,0.41248669948766775
ID-92,0.3684210526315789,0.7142857142857143,0.45983379501385047,0.5246186237210504
ID-93,0.54,0.40888888888888886,0.18287716424362385,0.3518827439862156
ID-94,0.1739130434782608,0.4375,0.26280874896347367,0.3013495374607362
ID-95,0.7272727272727273,0.7272727272727273,0.49205961397507947,0.6362359171102044
