ID,PjBL01,PjBL02,PjBL03,PjBL04,PjBL05,TK_pre,PK_pre,CK_pre,TPK_pre,TCK_pre,PCK_pre,TPACK_pre,S_pre,T_pre,E_pre,M_pre,ESD_PCK_pre,ESD_INQ_pre,ESD_EVA_pre,TPACK_total_pre,STEM_total_pre,ESD_total_pre,RPPInt_total_pre,TK_post,PK_post,CK_post,TPK_post,TCK_post,PCK_post,TPACK_post,S_post,T_post,E_post,M_post,ESD_PCK_post,ESD_INQ_post,ESD_EVA_post,TPACK_total_post,STEM_total_post,ESD_total_post,RPPInt_total_post
ID-19,3,4,3,4,4,2.6666666666666665,2.3333333333333335,2.33,2.3333333333333335,3.0,3.3333333333333335,2.6666666666666665,2.0,3.0,3.0,1.0,2.227272727272727,2.6923076923076925,2.8,2.666190476190476,2.25,2.573193473193473,2.4964613164613163,3.0,3.6666666666666665,3.67,3.6666666666666665,3.3333333333333335,4.0,3.3333333333333335,3.67,3.3333333333333335,3.6666666666666665,4.0,3.0,3.0,3.0,3.524285714285714,3.6675,3.0,3.397261904761905
ID-20,4,4,4,4,4,1.6666666666666667,3.0,2.3333333333333335,2.0,1.6666666666666667,3.3333333333333335,1.6666666666666667,2.3333333333333335,2.3333333333333335,1.6666666666666667,1.0,1.3181818181818181,1.3846153846153846,1.4,2.238095238095238,1.8333333333333335,1.3675990675990672,1.8130092130092128,3.25,3.75,3.25,3.5,3.75,3.5,2.75,3.25,3.75,3.5,3.25,2.5454545454545454,2.923076923076923,3.0,3.392857142857143,3.4375,2.8228438228438226,3.217733655233655
ID-21,4,3,4,4,4,2.0,2.33,1.67,2.0,1.6666666666666667,2.0,2.3333333333333335,3.6666666666666665,2.0,3.3333333333333335,1.0,1.77,2.38,1.6,2.0,2.5,1.9166666666666667,2.138888888888889,3.25,3.5,3.0,3.25,3.0,3.75,2.75,3.75,3.75,3.75,3.25,2.8636363636363638,2.923076923076923,2.8,3.2142857142857144,3.625,2.8622377622377626,3.233841158841159
ID-22,4,4,4,4,4,2.3333333333333335,2.0,3.3333333333333335,2.0,2.3333333333333335,2.67,2.0,1.67,1.6666666666666667,2.6666666666666665,1.0,1.5909090909090908,1.5384615384615385,1.6,2.3814285714285717,1.7508333333333335,1.5764568764568765,1.9029062604062605,3.5,3.0,3.5,3.0,3.0,3.67,3.0,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.238571428571429,3.375,3.0,3.2045238095238098
ID-23,4,3,3,4,4,1.0,2.0,2.0,1.33,1.33,2.3333333333333335,2.0,2.3333333333333335,1.6666666666666667,2.5,1.0,2.0,2.0,2.0,1.7133333333333334,1.875,2.0,1.8627777777777776,2.5,3.33,2.5,3.75,3.25,3.0,2.0,3.0,3.5,3.67,2.5,3.0,2.8461538461538463,3.0,2.904285714285714,3.1675,2.948717948717949,3.0068345543345543
ID-24,4,4,4,4,4,2.5,3.25,3.75,2.75,2.5,3.0,2.75,3.0,3.0,2.25,1.25,1.7272727272727273,1.6923076923076923,1.6,2.9285714285714284,2.375,1.6731934731934732,2.3255883005883007,4.0,4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.9285714285714284,4.0,3.0,3.642857142857143
ID-25,4,3,3,4,4,2.3333333333333335,3.6666666666666665,3.3333333333333335,2.3333333333333335,2.3333333333333335,3.0,2.3333333333333335,3.0,2.0,2.0,3.0,1.9545454545454546,2.3846153846153846,2.2,2.761904761904762,2.5,2.17972027972028,2.4805416805416804,4.0,4.0,4.0,4.0,4.0,4.0,3.5,4.0,3.5,3.25,3.5,2.6818181818181817,2.6923076923076925,2.8,3.9285714285714284,3.5625,2.7247086247086245,3.4052600177600176
ID-26,3,4,3,4,4,2.0,3.0,3.0,3.0,2.5,3.0,2.0,1.5,2.5,3.0,2.5,2.227272727272727,2.1538461538461537,2.2,2.642857142857143,2.375,2.1937062937062937,2.4038544788544787,3.25,3.25,3.5,3.5,3.75,3.95,3.25,3.25,3.5,3.5,3.0,2.909090909090909,2.6923076923076925,3.0,3.492857142857143,3.3125,2.867132867132867,3.2241633366633367
ID-27,3,4,4,4,4,1.5,2.0,2.5,1.0,2.0,2.0,1.0,2.5,1.5,1.5,1.0,1.9545454545454546,1.9230769230769231,1.6,1.7142857142857142,1.625,1.825874125874126,1.7217199467199469,1.6666666666666667,3.6666666666666665,3.3333333333333335,2.3333333333333335,3.3333333333333335,4.0,2.3333333333333335,3.0,3.6666666666666665,2.6666666666666665,3.3333333333333335,1.9545454545454546,2.85,2.8,2.9523809523809526,3.1666666666666665,2.5348484848484847,2.8846320346320344
ID-28,4,3,3,4,4,1.6666666666666667,2.3333333333333335,3.3333333333333335,2.6666666666666665,3.0,3.3333333333333335,3.0,3.6666666666666665,2.0,3.3333333333333335,2.6666666666666665,1.5,1.8461538461538463,1.6,2.761904761904762,2.9166666666666665,1.6487179487179489,2.4424297924297926,3.5,3.5,3.75,3.25,3.75,3.75,3.75,3.75,3.75,3.5,3.5,2.909090909090909,3.0,3.0,3.607142857142857,3.625,2.96969696969697,3.400613275613276
ID-29,3,3,4,4,4,1.6666666666666667,2.6666666666666665,2.6666666666666665,2.3333333333333335,3.0,2.67,2.3333333333333335,2.3333333333333335,2.0,1.6666666666666667,2.3333333333333335,1.7272727272727273,2.923076923076923,1.6,2.4766666666666666,2.0833333333333335,2.0834498834498834,2.2144832944832946,3.0,3.0,3.3333333333333335,3.3333333333333335,3.0,3.3333333333333335,3.0,3.3333333333333335,3.3333333333333335,3.0,2.6666666666666665,2.8636363636363638,3.0,2.4,3.142857142857143,3.0833333333333335,2.7545454545454544,2.9935786435786436
